PERFIL;¿En qué universidad estudias actualmente?;¿En qué país estás cursando tus estudios?;¿A qué área principal pertenece tu carrera?;Por favor, escribe el nombre de tu carrera o programa de estudios.;¿Qué semestre estás cursando actualmente?;¿Cuál es tu edad?;¿Con qué género te identificas?;COMPETENCIAS_IA;Análisis e interpretación de datos.;Fundamentos de ciberseguridad.;Conceptos básicos de programación y automatización.;Manejo de herramientas de IA (ej. ChatGPT, Copilot, Gemini, DALL-E);Pensamiento crítico y resolución de problemas complejos;Comunicación efectiva en entornos digitales;Adaptabilidad y aprendizaje continuo;Creatividad e innovación;Colaboración en equipos multidisciplinarios;PERTINENCIA_LABORAL;El currículo de mi carrera está alineado con las habilidades demandadas por el mercado laboral digital.;Mi universidad promueve activamente el desarrollo de competencias digitales y blandas.;Siento que la formación que he recibido me prepara para trabajos que aún no existen.;El uso de la tecnología y la IA está bien integrado en las asignaturas de mi carrera.;La metodología de enseñanza en mi carrera fomenta la adaptabilidad y el aprendizaje continuo.;CONFIANZA_LABORAL;Me siento seguro(a) de que mi formación académica me prepara para conseguir un empleo relevante en mi área.;Mi perfil de egreso es competitivo en el mercado laboral actual.;Considero que mis habilidades blandas (ej. comunicación, creatividad) me dan una ventaja en el mercado laboral.;Creo que mi conocimiento sobre herramientas de IA mejorará mis oportunidades laborales.;Habilidades técnicas y digitales (ej. programación, análisis de datos);Habilidades blandas (ej. pensamiento crítico, adaptabilidad);Experiencia práctica o pasantías;Red de contactos (networking);Título académico de la universidad;EVALUACION_DOCENTE;El profesorado de mi carrera está capacitado para integrar herramientas de IA en la enseñanza.;Mi universidad fomenta la innovación en las metodologías de enseñanza para adaptarse a la era digital.;Mi universidad tiene los recursos adecuados (plataformas, software) para formar profesionales en la era digital.;En general, recomendaría mi universidad como una institución que prepara para los desafíos del mercado laboral digital.;El rol principal del profesorado será el de facilitador y guía del aprendizaje.;El profesorado deberá enfocarse más en enseñar habilidades humanas (pensamiento crítico, ética, creatividad) que en transmitir información.;El rol del profesorado se reducirá significativamente, siendo reemplazado en gran medida por la IA.;_id;_uuid;_submission_time;_validation_status;_notes;_status;_submitted_by;__version__;_tags;_index
;IUE;Colombia;Ingeniería y Tecnología;Ingeniería Informática;8vo Semestre;38;Masculino;;Intermedio;Básico;Intermedio;Intermedio;Intermedio;Intermedio;Avanzado;Intermedio;Intermedio;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;588456305;15adefc6-41cc-43f7-ac05-8807a0db7524;2025-10-22T16:07:57;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;214
;Institución Universitaria de Envigado;Colombia;Ingeniería y Tecnología;Ingeniería Informática;8vo Semestre;19;Masculino;;Intermedio;Ninguno;Avanzado;Avanzado;Intermedio;Avanzado;Avanzado;Intermedio;Intermedio;;Totalmente de acuerdo;Totalmente de acuerdo;Neutral;Totalmente de acuerdo;De acuerdo;;Muy importante;Importante;Neutral;Muy importante;Importante;Muy importante;Neutral;Muy importante;Neutral;;Totalmente de acuerdo;De acuerdo;Neutral;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;588456423;9b071acf-1f49-4ca3-8ba4-da1d73c200df;2025-10-22T16:08:05;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;215
;ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO;Ecuador;Ciencias Económicas y Administrativas;FINANZAS;8vo Semestre;25;Femenino;;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Básico;Básico;;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;Neutral;;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;588456675;b2e12c56-2cd8-4f51-84d1-0e7aaf606ea4;2025-10-22T16:08:23;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;216
;Institución universitaria de Envigado;Colombia;Ingeniería y Tecnología;Ingeniería informática;8vo Semestre;20;Masculino;;Intermedio;Avanzado;Intermedio;Intermedio;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;;De acuerdo;De acuerdo;Neutral;De acuerdo;De acuerdo;;Importante;Importante;Importante;Importante;Importante;Importante;Neutral;Neutral;Muy importante;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;588457592;e3836020-9447-4d73-b240-cfde707e1366;2025-10-22T16:09:25;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;217
;ESPOCH;Ecuador;Ciencias Económicas y Administrativas;Finanzas;8vo Semestre;22;Femenino;;Intermedio;Básico;Básico;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;588458604;f7d68b21-914b-419f-9309-b325e724377c;2025-10-22T16:10:26;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;218
;IUE;Colombia;Ciencias Económicas y Administrativas;CONTADURIA PÚBLICA;8vo Semestre;29;Masculino;;Intermedio;Ninguno;Ninguno;Básico;Avanzado;Avanzado;Intermedio;Intermedio;Intermedio;;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;;Poca importancia;Poca importancia;Poca importancia;Poca importancia;Poca importancia;Poca importancia;Poca importancia;Neutral;Importante;;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;Neutral;De acuerdo;De acuerdo;588458676;8af47fd2-8db8-4905-b852-d5b66635c665;2025-10-22T16:10:31;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;219
;Escuela Superior politécnica de Chimborazo;Ecuador;Ciencias Económicas y Administrativas;FINANZAS;8vo Semestre;23;Femenino;;Intermedio;Intermedio;Intermedio;Experto;Avanzado;Experto;Avanzado;Avanzado;Avanzado;;Neutral;Totalmente de acuerdo;Neutral;Totalmente de acuerdo;Totalmente de acuerdo;;Importante;Muy importante;Muy importante;Poca importancia;Importante;Importante;Muy importante;Muy importante;Muy importante;;De acuerdo;De acuerdo;Totalmente de acuerdo;De acuerdo;Totalmente de acuerdo;De acuerdo;En desacuerdo;588458948;48e54b7e-1b7d-4c46-95cf-433a5c245472;2025-10-22T16:10:45;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;220
;Institución Universitaria de Envigado;Colombia;Ciencias Económicas y Administrativas;Contaduría Pública;8vo Semestre;20;Femenino;;Intermedio;Básico;Ninguno;Intermedio;Intermedio;Intermedio;Avanzado;Avanzado;Básico;;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;;Poca importancia;Importante;Neutral;Importante;Muy importante;Muy importante;Importante;Muy importante;Neutral;;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;Neutral;De acuerdo;De acuerdo;588459559;45c66561-210c-44e3-819e-6281b8ec88c0;2025-10-22T16:11:28;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;221
;Institución Universitaria de Envigado;Colombia;Ingeniería y Tecnología;Ingeniería informática;8vo Semestre;18;Masculino;;Ninguno;Ninguno;Básico;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;;Neutral;De acuerdo;Neutral;En desacuerdo;De acuerdo;;Importante;Neutral;Muy importante;Importante;Importante;Importante;Importante;Neutral;Importante;;De acuerdo;De acuerdo;Neutral;De acuerdo;De acuerdo;Neutral;Totalmente en desacuerdo;588459860;89c3cb5b-54fd-4b54-a165-d7254d0b46eb;2025-10-22T16:11:49;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;222
;Universidad de envigado;Colombia;Ingeniería y Tecnología;Ingeniería Informática;8vo Semestre;22;Masculino;;Avanzado;Intermedio;Avanzado;Avanzado;Experto;Experto;Experto;Experto;Experto;;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Neutral;Totalmente de acuerdo;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Importante;Muy importante;Neutral;;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;588459951;1253c579-fb7a-43fb-92a9-455f6e249c07;2025-10-22T16:11:56;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;223
;Espoch;Ecuador;Ciencias Económicas y Administrativas;Marketing;8vo Semestre;21;Femenino;;Intermedio;Básico;Intermedio;Intermedio;Avanzado;Avanzado;Avanzado;Avanzado;Intermedio;;En desacuerdo;En desacuerdo;Totalmente de acuerdo;En desacuerdo;Totalmente de acuerdo;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;588460031;e1c2768d-1e00-43cb-85bc-02efc860da32;2025-10-22T16:12:01;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;224
;Espoch;Ecuador;Ciencias Económicas y Administrativas;Finanzas;8vo Semestre;24;Femenino;;Intermedio;Intermedio;Intermedio;Avanzado;Avanzado;Intermedio;Intermedio;Avanzado;Avanzado;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Totalmente en desacuerdo;;Neutral;Neutral;Neutral;Neutral;Importante;Neutral;Neutral;Neutral;Importante;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;588460071;79d50d6e-dfef-4c31-afe9-b08ae5a45fa4;2025-10-22T16:12:04;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;225
;Escuela Superior Politécnica de Chimborazo;Ecuador;Ciencias Económicas y Administrativas;Finanzas;8vo Semestre;27;Femenino;;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;;Neutral;Neutral;De acuerdo;De acuerdo;De acuerdo;;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;588460166;2d6666c8-a502-442e-8563-ff841c0469de;2025-10-22T16:12:10;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;226
;Espoch;Ecuador;Ciencias Económicas y Administrativas;Finanzas;8vo Semestre;22;Masculino;;Avanzado;Intermedio;Básico;Intermedio;Experto;Avanzado;Experto;Avanzado;Avanzado;;De acuerdo;De acuerdo;Neutral;Neutral;Totalmente de acuerdo;;Importante;Muy importante;Muy importante;Muy importante;Importante;Muy importante;Muy importante;Muy importante;Importante;;De acuerdo;Neutral;Neutral;De acuerdo;De acuerdo;Neutral;De acuerdo;588460195;82222aaa-b29f-44a6-b4df-7ab7dd54b914;2025-10-22T16:12:12;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;227
;ESPOCH;Ecuador;Ciencias Económicas y Administrativas;Finanzas;8vo Semestre;23;No binario;;Experto;Experto;Experto;Experto;Experto;Experto;Experto;Experto;Experto;;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;588460337;c6c168fe-d663-47da-91aa-27d170117a79;2025-10-22T16:12:22;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;228
;Escuela Superior Politécnica de Chimborazo;Ecuador;Ciencias Económicas y Administrativas;Carrera de Finanzas;8vo Semestre;24;Femenino;;Básico;Básico;Básico;Intermedio;Intermedio;Intermedio;Básico;Intermedio;Básico;;Neutral;De acuerdo;De acuerdo;De acuerdo;De acuerdo;;Neutral;Importante;Importante;Importante;Neutral;Importante;Muy importante;Importante;Muy importante;;De acuerdo;De acuerdo;Neutral;De acuerdo;De acuerdo;De acuerdo;De acuerdo;588460572;ce917a17-4e06-4fd5-8821-e35af95ecc2d;2025-10-22T16:12:40;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;229
;Institución Universitaria de Envigado;Colombia;Ingeniería y Tecnología;Ingeniería informática;8vo Semestre;21;Femenino;;Ninguno;Ninguno;Básico;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;;De acuerdo;De acuerdo;Neutral;En desacuerdo;De acuerdo;;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;;Neutral;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;Totalmente en desacuerdo;588460672;daa7899b-a478-4936-9ce3-0f7e630fd376;2025-10-22T16:12:48;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;230
;Institución Universitaria de Envigado;Colombia;Ciencias Económicas y Administrativas;Contaduría pública;10mo Semestre o superior;23;Femenino;;Intermedio;Básico;Básico;Básico;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;;En desacuerdo;Neutral;En desacuerdo;En desacuerdo;En desacuerdo;;Importante;Poca importancia;Neutral;Muy importante;Muy importante;Muy importante;Neutral;Muy importante;Neutral;;Neutral;De acuerdo;De acuerdo;Neutral;Neutral;De acuerdo;Totalmente en desacuerdo;588460859;1495915e-7871-48ba-b373-1c8541f5ad13;2025-10-22T16:13:05;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;231
;Espoch;Ecuador;Ciencias Económicas y Administrativas;Finanzas;8vo Semestre;25;Femenino;;Avanzado;Intermedio;Intermedio;Intermedio;Avanzado;Intermedio;Avanzado;Avanzado;Intermedio;;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;Neutral;De acuerdo;;Importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Importante;;De acuerdo;De acuerdo;De acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;De acuerdo;588461152;c9037485-145e-4980-86fe-b1001f02b840;2025-10-22T16:13:33;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;232
;ESPOCH;Ecuador;Ciencias Sociales y Humanidades;Finanzas;8vo Semestre;21;Femenino;;Avanzado;Ninguno;Ninguno;Avanzado;Avanzado;Avanzado;Avanzado;Básico;Ninguno;;De acuerdo;De acuerdo;Neutral;De acuerdo;De acuerdo;;Neutral;Neutral;Muy importante;Importante;Importante;Muy importante;Muy importante;Muy importante;Muy importante;;De acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;Totalmente de acuerdo;Neutral;En desacuerdo;588461194;fed65ca8-b169-4476-acec-037f3f178d50;2025-10-22T16:13:38;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;233
;ESPOCH;Ecuador;Ciencias Económicas y Administrativas;FINANZAS;8vo Semestre;21;Femenino;;Avanzado;Básico;Ninguno;Básico;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;;Totalmente de acuerdo;Totalmente de acuerdo;Neutral;Neutral;De acuerdo;;Importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Neutral;En desacuerdo;588461342;ed6f439f-d887-4d9a-ba0e-cadd6df7a6e1;2025-10-22T16:13:52;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;234
;ESPOCH;Ecuador;Ciencias de la Salud;Bioquímica y Farmacia;8vo Semestre;23;Masculino;;Intermedio;Intermedio;Intermedio;Intermedio;Avanzado;Intermedio;Avanzado;Avanzado;Avanzado;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;;Neutral;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;588461534;dc8eb03a-1ebe-4d82-aba5-975b5e57507b;2025-10-22T16:14:10;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;235
;Institución Universitaria de Envigado;Colombia;Ingeniería y Tecnología;Ing Informática;8vo Semestre;18;Masculino;;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;Experto;Intermedio;;De acuerdo;Totalmente de acuerdo;Neutral;En desacuerdo;De acuerdo;;Importante;Neutral;Importante;Importante;Importante;Importante;Poca importancia;Importante;Muy importante;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Totalmente de acuerdo;En desacuerdo;Totalmente de acuerdo;588462077;1fcedec4-34d2-44c1-b48e-1a94633c6166;2025-10-22T16:14:50;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;236
;Escuela Superior Politécnica de Chimborazo;Ecuador;Otro;Finanzas;8vo Semestre;22;Femenino;;Intermedio;Básico;Básico;Intermedio;Intermedio;Intermedio;Avanzado;Intermedio;Intermedio;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;;Neutral;Neutral;Importante;Importante;Importante;Importante;Importante;Importante;Importante;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Totalmente de acuerdo;De acuerdo;Neutral;588462104;1098e4ea-5cad-4abe-b37c-92353f57d075;2025-10-22T16:14:52;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;237
;ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO;Ecuador;Ciencias Económicas y Administrativas;Finanzas;8vo Semestre;22;Femenino;;Intermedio;Básico;Básico;Avanzado;Básico;Básico;Intermedio;Intermedio;Intermedio;;De acuerdo;De acuerdo;Neutral;En desacuerdo;De acuerdo;;Muy importante;Muy importante;Importante;Importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;;Neutral;De acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;Neutral;De acuerdo;588462245;fe6767f4-5e94-483f-a465-57e12bae9ed9;2025-10-22T16:15:03;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;238
;Institución Universitaria de Envigado;Colombia;Ciencias Económicas y Administrativas;Contaduría Pública;9no Semestre;32;Femenino;;Intermedio;Intermedio;Ninguno;Básico;Intermedio;Intermedio;Intermedio;Básico;Avanzado;;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;Neutral;;Importante;Importante;Neutral;Neutral;Neutral;Importante;Muy importante;Importante;Muy importante;;En desacuerdo;Neutral;En desacuerdo;Neutral;De acuerdo;Neutral;Totalmente en desacuerdo;588463709;2ab9e5f7-529a-4686-bdc4-f3f0d14fc086;2025-10-22T16:16:56;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;239
;ESPOCH;Ecuador;Ciencias Económicas y Administrativas;Marketing;8vo Semestre;23;Masculino;;Avanzado;Avanzado;Avanzado;Experto;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Neutral;588469230;35022ee9-0e03-4a22-8bb0-dcad25e54bbf;2025-10-22T16:23:38;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;240
;ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO;Ecuador;Ciencias de la Salud;BIOQUÍMICA Y FARMACIA;8vo Semestre;22;Femenino;;Básico;Básico;Intermedio;Intermedio;Avanzado;Intermedio;Intermedio;Intermedio;Intermedio;;Neutral;De acuerdo;De acuerdo;De acuerdo;De acuerdo;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;588471564;863b0199-5c2c-4d94-a1d8-9e04e5f5ba39;2025-10-22T16:26:06;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;241
;ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO;Ecuador;Ciencias Económicas y Administrativas;FINANZAS;8vo Semestre;21;Femenino;;Intermedio;Básico;Básico;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Avanzado;;Neutral;Neutral;En desacuerdo;De acuerdo;De acuerdo;;Importante;Importante;Importante;Importante;Neutral;Importante;Muy importante;Importante;Importante;;En desacuerdo;En desacuerdo;Neutral;Neutral;De acuerdo;De acuerdo;Neutral;588471880;5a3e6a2f-add5-40be-906c-74cf8ddae568;2025-10-22T16:26:28;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;242
;ESPOCH;Ecuador;Ciencias Económicas y Administrativas;Finanzas;8vo Semestre;23;Femenino;;Básico;Básico;Básico;Básico;Básico;Básico;Intermedio;Intermedio;Básico;;De acuerdo;Totalmente de acuerdo;Neutral;De acuerdo;De acuerdo;;Neutral;Importante;Muy importante;Muy importante;Poca importancia;Neutral;Neutral;Neutral;Muy importante;;Neutral;De acuerdo;De acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Neutral;588472075;93e2ccad-2fb4-4f1d-834b-be6b926b2203;2025-10-22T16:26:43;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;243
;ESCUELA SUPERIOR POLITÉNICA DE CHIMNORAZO;Ecuador;Ciencias de la Salud;BIOQUÍMICA Y FARMACIA;8vo Semestre;22;Femenino;;Básico;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;De acuerdo;Neutral;Neutral;De acuerdo;588473214;01119f34-2160-404a-8f6b-e6af4e783286;2025-10-22T16:28:04;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;244
;ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO;Ecuador;Ciencias de la Salud;BIOQUÍMICA Y FARMACIA;8vo Semestre;22;Masculino;;Básico;Ninguno;Ninguno;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;;De acuerdo;Neutral;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;588474325;5a2ba5ce-dadc-4ead-83e5-2dca8d7740a1;2025-10-22T16:29:19;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;245
;ESPOCH;Ecuador;Ciencias Económicas y Administrativas;FINANZAS;8vo Semestre;22;Masculino;;Avanzado;Ninguno;Ninguno;Ninguno;Avanzado;Básico;Básico;Básico;Básico;;Neutral;Neutral;Neutral;Neutral;Neutral;;Poca importancia;Poca importancia;Poca importancia;Poca importancia;Poca importancia;Poca importancia;Poca importancia;Poca importancia;Poca importancia;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;588474463;1840fdce-2a84-4ac6-9cb5-c162319200a1;2025-10-22T16:29:28;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;246
;Escuela Superior Politécnica de Chimborazo;Ecuador;Ciencias Económicas y Administrativas;FINANZAS;8vo Semestre;22;Femenino;;Básico;Básico;Básico;Intermedio;Intermedio;Básico;Intermedio;Básico;Intermedio;;En desacuerdo;Neutral;De acuerdo;De acuerdo;De acuerdo;;Neutral;Importante;Importante;Muy importante;Muy importante;Importante;Importante;Muy importante;Neutral;;De acuerdo;Neutral;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;588474697;7f1b49fe-c49a-4bf8-8eea-77618ab3c466;2025-10-22T16:29:48;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;247
;Escuela Superior Politécnica de Chimborazo;Ecuador;Otro;Finanzas;8vo Semestre;22;Femenino;;Intermedio;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;Intermedio;Avanzado;Intermedio;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;588477302;52692912-4e2b-4bb9-8b1b-3b88976695be;2025-10-22T16:32:56;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;248
;Escuela Superior Politécnica de Chimborazo;Ecuador;Ciencias de la Salud;Bioquímica y Farmacia;8vo Semestre;22;Femenino;;Básico;Básico;Básico;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;;Importante;Muy importante;Importante;Importante;Importante;Importante;Muy importante;Importante;Muy importante;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;588490537;cc85aae7-1923-47c8-9af1-b77f560f16b1;2025-10-22T16:49:32;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;249
;Escuela Superior Politécnica de Chimborazo;Ecuador;Ciencias Económicas y Administrativas;Finanzas;8vo Semestre;21;Femenino;;Intermedio;Intermedio;Ninguno;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;;Neutral;De acuerdo;Neutral;En desacuerdo;Neutral;;Poca importancia;Poca importancia;Neutral;Importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;;En desacuerdo;Totalmente en desacuerdo;Neutral;Neutral;Neutral;De acuerdo;Neutral;588496517;e0cedabd-b873-4b70-b26d-b6b8d7aa7084;2025-10-22T16:56:51;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;250
;Escuela Superior Politecnica de Chimborazo;Ecuador;Ciencias Económicas y Administrativas;Finanzas;8vo Semestre;27;Femenino;;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;;Neutral;De acuerdo;De acuerdo;Neutral;De acuerdo;;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;588497305;793f8214-c845-4373-aa44-2bca01ba2e71;2025-10-22T16:58:21;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;251
;Escuela superior politécnica de Chimborazo;Ecuador;Ciencias Económicas y Administrativas;Finanzas;8vo Semestre;23;Masculino;;Experto;Experto;Experto;Experto;Experto;Experto;Experto;Experto;Experto;;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;588498418;0033332b-1746-4ad8-abaf-e671d3da395d;2025-10-22T16:59:53;;;submitted_via_web;;vChg7yMeBKKGRfjpN9QAMn;;252
